,movie_candidates
0,110 260
1,110 296
2,110 260
3,110 260
4,110 260
5,110 260
6,110 318
7,110 296
8,110 260
9,110 260
10,110 296
11,110 260
12,110 260
13,110 296
14,110 260
15,110 260
16,110 260
17,110 296
18,110 260
19,110 260
20,110 260
21,110 260
22,110 260
23,110 260
24,110 260
25,110 260
26,110 296
27,110 260
28,110 260
29,110 296
30,110 260
31,110 260
32,110 260
33,110 296
34,110 260
35,110 260
36,110 260
37,110 260
38,110 260
39,110 260
40,110 318
41,110 260
42,110 260
43,110 260
44,110 260
45,110 296
46,110 260
47,110 260
48,110 296
49,110 260
50,110 260
51,110 296
52,110 260
53,110 318
54,110 356
55,110 260
56,110 260
57,110 260
58,110 260
59,110 260
60,110 260
61,110 260
62,110 260
63,110 318
64,110 260
65,110 260
66,110 296
67,110 260
68,110 260
69,110 260
70,110 260
71,110 260
72,110 260
73,110 25
74,110 296
75,110 296
76,110 260
77,110 260
78,110 260
79,110 260
80,110 296
81,110 260
82,110 260
83,110 260
84,110 260
85,110 260
86,110 260
87,110 260
88,110 296
89,110 260
90,110 260
91,110 260
92,110 296
93,110 260
94,110 260
95,110 296
96,110 260
97,110 260
98,110 260
99,110 260
100,1196 25
101,1196 25
102,1196 25
103,1196<
104,1196<
105,1196 25
106,1196<
107,1196 25
108,1196 29
109,1196 29
110,1196<
111,1196 29
112,1196<
113,1196<
114,1196 25
115,1196 25
116,1196<
117,1196 25
118,1196<
119,1196 25
120,1196 29
121,1196<
122,1196<
123,1196<
124,1196<
125,1196<
126,1196 25
127,1196<
128,1196 29
129,1196<
130,1196<
131,1196<
132,1196<
133,1196<
134,1196<
135,1196<
136,1196 29
137,1196 25
138,1196 25
139,1196 29
140,1196 29
141,1196<
142,1196 25
143,1196<
144,1196 25
145,1196 29
146,1196<
147,1196 25
148,1196<
149,1196<
150,1196 29
151,1196 29
152,1196 25
153,1196 29
154,1196<
155,1196 29
156,1196<
157,1196 29
158,1196<
159,1196 25
160,1196 25
161,1196 29
162,1196<
163,1196<
164,1196<
165,1196<
166,1196 25
167,1196<
168,1196<
169,1196<
170,1196 29
171,1196<
172,1196<
173,1196<
174,1196 29
175,1196<
176,1196<
177,1196<
178,1196<
179,1196<
180,1196<
181,1196 29
182,1196 25
183,1196 29
184,1196 25
185,1196 29
186,1196 25
187,1196 25
188,1196<
189,1196<
190,1196 25
191,1196<
192,1196<
193,1196 29
194,1196 29
195,1196<
196,1196 25
197,1196<
198,1196 25
199,1196 25
200,260 296
201,260 296
202,260 260
203,260 318
204,260 296
205,260 296
206,260 296
207,260 296
208,260 260
209,260 296
210,260 296
211,260 296
212,260 296
213,260 296
214,260 296
215,260 296
216,260 296
217,260 296
218,260 296
219,260 318
220,260 318
221,260 5
222,260 318
223,260 296
224,260 318
225,260 296
226,260 296
227,260 296
228,260 296
229,260 296
230,260 296
231,260 296
232,260 296
233,260 260
234,260 296
235,260 318
236,260 296
237,260 296
238,260 296
239,260 296
240,260 318
241,260 296
242,260 296
243,260 119
244,260 5
245,260 296
246,260 296
247,260 296
248,260 296
249,260 318
250,260 318
251,260 296
252,260 318
253,260 296
254,260 260
255,260 296
256,260 296
257,260 296
258,260 318
259,260 296
260,260 296
261,260 318
262,260 356
263,260 296
264,260 5
265,260 296
266,260 296
267,260 296
268,260 296
269,260 318
270,260 296
271,260 296
272,260 318
273,260 356
274,260 296
275,260 296
276,260 296
277,260 296
278,260 296
279,260 318
280,260 296
281,260 318
282,260 356
283,260 318
284,260 296
285,260 296
286,260 296
287,260 296
288,260 296
289,260 296
290,260 356
291,260 296
292,260 119
293,260 296
294,260 296
295,260 296
296,260 296
297,260 296
298,260 296
299,260 296
300,296 25
301,296 318
302,296 318
303,296 318
304,296 356
305,296 318
306,296 5
307,296 318
308,296 5
309,296 260
310,296 318
311,296 356
312,296 318
313,296 318
314,296 5
315,296 318
316,296 356
317,296 318
318,296 318
319,296 318
320,296 318
321,296 356
322,296 356
323,296 318
324,296 318
325,296 318
326,296 318
327,296 318
328,296 318
329,296 356
330,296 318
331,296 5
332,296 318
333,296 318
334,296 119
335,296 318
336,296 356
337,296 318
338,296 318
339,296 318
340,296 25
341,296 318
342,296 296
343,296 119
344,296 318
345,296 5
346,296 318
347,296 318
348,296 356
349,296 318
350,296 318
351,296 5
352,296 318
353,296 318
354,296 318
355,296<
356,296 318
357,296 119
358,296 5
359,296 318
360,296 318
361,296 5
362,296 356
363,296 318
364,296 356
365,296 318
366,296 296
367,296 318
368,296 318
369,296 296
370,296 318
371,296 318
372,296 5
373,296 5
374,296 318
375,296 318
376,296 318
377,296 318
378,296 318
379,296 5
380,296 318
381,296 296
382,296 318
383,296 318
384,296 318
385,296 318
386,296 318
387,296 318
388,296 356
389,296 5
390,296 5
391,296 318
392,296 5
393,296 356
394,296 318
395,296 318
396,296 318
397,296 318
398,296 318
399,296 5
400,318 260
401,318 356
402,318 356
403,318 5
404,318 5
405,318 356
406,318 356
407,318 5
408,318 296
409,318 356
410,318 356
411,318 356
412,318 5
413,318 5
414,318 119
415,318 5
416,318 5
417,318 5
418,318 356
419,318<
420,318 5
421,318 260
422,318 356
423,318 356
424,318 5
425,318 5
426,318 119
427,318 356
428,318 5
429,318 356
430,318 356
431,318 356
432,318 356
433,318 356
434,318 5
435,318 5
436,318 356
437,318 5
438,318 356
439,318 356
440,318 5
441,318 5
442,318 356
443,318 318
444,318 5
445,318 5
446,318 5
447,318 5
448,318 5
449,318 356
450,318 356
451,318 5
452,318 5
453,318 5
454,318 356
455,318 5
456,318 5
457,318 260
458,318 5
459,318 318
460,318 5
461,318 5
462,318 356
463,318 5
464,318 5
465,318 5
466,318 5
467,318 356
468,318 5
469,318 5
470,318 5
471,318 5
472,318 5
473,318 356
474,318 5
475,318 5
476,318 5
477,318 5
478,318 318
479,318 356
480,318 356
481,318 5
482,318 356
483,318 5
484,318 5
485,318 5
486,318 25
487,318 356
488,318 5
489,318 356
490,318 356
491,318 5
492,318 5
493,318 356
494,318 356
495,318 119
496,318 5
497,318 260
498,318 5
499,318 318
500,356 25
501,356 119
502,356 260
503,356 5
504,356 5
505,356 318
506,356 5
507,356 5
508,356 5
509,356 5
510,356 5
511,356 5
512,356 5
513,356 5
514,356 5
515,356 5
516,356 5
517,356 5
518,356 5
519,356<
520,356 356
521,356 5
522,356 318
523,356 5
524,356 25
525,356 318
526,356 5
527,356 5
528,356 5
529,356 5
530,356 5
531,356 5
532,356 5
533,356 5
534,356 356
535,356 5
536,356 5
537,356 29
538,356 5
539,356 119
540,356 29
541,356 356
542,356 5
543,356 5
544,356 5
545,356 5
546,356 5
547,356 5
548,356 5
549,356 318
550,356 5
551,356 318
552,356 29
553,356 5
554,356 5
555,356 119
556,356<
557,356 5
558,356 5
559,356 318
560,356 318
561,356 5
562,356 5
563,356 119
564,356 5
565,356 296
566,356<
567,356 356
568,356 25
569,356 5
570,356 5
571,356 5
572,356 5
573,356 5
574,356 5
575,356 5
576,356 5
577,356 25
578,356 5
579,356 5
580,356<
581,356 318
582,356 5
583,356 5
584,356 5
585,356 5
586,356 5
587,356 119
588,356 318
589,356<
590,356 356
591,356 5
592,356 5
593,356 5
594,356 5
595,356 5
596,356 5
597,356 5
598,356 25
599,356 318
600,527 5
601,527 5
602,527 25
603,527 119
604,527 29
605,527 5
606,527 5
607,527 5
608,527 25
609,527 29
610,527 5
611,527 25
612,527 5
613,527 25
614,527 119
615,527 25
616,527 119
617,527 5
618,527 5
619,527 5
620,527 5
621,527 5
622,527 25
623,527 5
624,527 5
625,527 5
626,527 119
627,527 119
628,527 5
629,527 29
630,527 25
631,527 5
632,527 5
633,527 119
634,527 5
635,527 29
636,527 5
637,527 5
638,527 119
639,527 119
640,527 119
641,527 5
642,527 5
643,527 119
644,527 5
645,527 29
646,527 5
647,527 5
648,527 25
649,527 119
650,527 29
651,527 5
652,527 5
653,527 5
654,527 119
655,527 5
656,527 119
657,527 5
658,527 5
659,527 119
660,527 25
661,527 5
662,527<
663,527 5
664,527 5
665,527 5
666,527 119
667,527 25
668,527 25
669,527 119
670,527 5
671,527 25
672,527 119
673,527 5
674,527 5
675,527 5
676,527 25
677,527 119
678,527 119
679,527 5
680,527 5
681,527 5
682,527 119
683,527 5
684,527 5
685,527 5
686,527 5
687,527 29
688,527 5
689,527 5
690,527 5
691,527 25
692,527 5
693,527 5
694,527 119
695,527 29
696,527 25
697,527 25
698,527 318
699,527 5
700,593 29
701,593 29
702,593<
703,593<
704,593<
705,593 119
706,593 5
707,593 5
708,593 5
709,593 119
710,593 318
711,593<
712,593 5
713,593 318
714,593<
715,593 119
716,593 119
717,593<
718,593 119
719,593 29
720,593<
721,593 318
722,593 318
723,593 5
724,593 25
725,593 318
726,593 5
727,593<
728,593 25
729,593 25
730,593 119
731,593<
732,593 260
733,593 5
734,593 25
735,593 5
736,593 25
737,593<
738,593 29
739,593 5
740,593 29
741,593<
742,593<
743,593 356
744,593>
745,593 5
746,593 5
747,593 5
748,593 119
749,593<
750,593 119
751,593<
752,593 29
753,593<
754,593<
755,593<
756,593 25
757,593 119
758,593<
759,593 29
760,593<
761,593 119
762,593 5
763,593<
764,593 318
765,593<
766,593 5
767,593 119
768,593 5
769,593<
770,593<
771,593 119
772,593 5
773,593 318
774,593 25
775,593 318
776,593<
777,593 5
778,593<
779,593<
780,593 25
781,593 318
782,593 5
783,593<
784,593<
785,593<
786,593 5
787,593 5
788,593 5
789,593 260
790,593 318
791,593 5
792,593 260
793,593 318
794,593 119
795,593<
