,movie_candidates
0,110 2571
1,110 356
2,110 356
3,110 593
4,110 593
5,110 356
6,110 356
7,110 356
8,110 2571
9,110 356
10,110 2571
11,110 356
12,110 2571
13,110 356
14,110 356
15,110 356
16,110 356
17,110 593
18,110 356
19,110 356
20,110 2571
21,110 2571
22,110 2571
23,110 2571
24,110 356
25,110 2571
26,110 356
27,110 356
28,110 2571
29,110 356
30,110 356
31,110 356
32,110 356
33,110 593
34,110 2571
35,110 2571
36,110 356
37,110 356
38,110 2571
39,110 356
40,110 356
41,110 2571
42,110 356
43,110 2959
44,110 2571
45,110 356
46,110 356
47,110 2571
48,110 356
49,110 2571
50,110 593
51,110 356
52,110 356
53,110 356
54,110 356
55,110 356
56,110 2571
57,110 2571
58,110 356
59,110 2959
60,110 356
61,110 356
62,110 2571
63,110 356
64,110 593
65,110 356
66,110 356
67,110 356
68,110 2959
69,110 2571
70,110 356
71,110 356
72,110 356
73,110 356
74,110 356
75,110 2571
76,110 593
77,110 2571
78,110 2571
79,110 356
80,110 356
81,110 356
82,110 356
83,110 2959
84,110 2571
85,110 2571
86,110 356
87,110 2571
88,110 356
89,110 356
90,110 2571
91,110 356
92,110 2571
93,110 356
94,110 356
95,110 356
96,110 356
97,110 356
98,110 2571
99,110 356
100,1196 318
101,1196 318
102,1196 318
103,1196 318
104,1196 318
105,1196 318
106,1196 318
107,1196 318
108,1196 318
109,1196 318
110,1196 318
111,1196 110
112,1196 318
113,1196 318
114,1196 318
115,1196 318
116,1196 318
117,1196 318
118,1196 318
119,1196 318
120,1196 318
121,1196 318
122,1196 318
123,1196 318
124,1196 318
125,1196 318
126,1196 318
127,1196 318
128,1196 318
129,1196 318
130,1196 318
131,1196 318
132,1196 318
133,1196 318
134,1196 318
135,1196 318
136,1196 318
137,1196 318
138,1196 318
139,1196 318
140,1196 318
141,1196 318
142,1196 318
143,1196 318
144,1196 318
145,1196 318
146,1196 318
147,1196 318
148,1196 318
149,1196 318
150,1196 318
151,1196 318
152,1196 318
153,1196 318
154,1196 318
155,1196 318
156,1196 318
157,1196 318
158,1196 318
159,1196 318
160,1196 318
161,1196 318
162,1196 318
163,1196 318
164,1196 318
165,1196 318
166,1196 318
167,1196 318
168,1196 318
169,1196 318
170,1196 318
171,1196 318
172,1196 318
173,1196 318
174,1196 318
175,1196 318
176,1196 318
177,1196 318
178,1196 318
179,1196 318
180,1196 318
181,1196 318
182,1196 318
183,1196 296
184,1196 318
185,1196 318
186,1196 318
187,1196 318
188,1196 318
189,1196 318
190,1196 110
191,1196 318
192,1196 318
193,1196 318
194,1196 318
195,1196 318
196,1196 318
197,1196 318
198,1196 318
199,1196 318
200,260 318
201,260 318
202,260 318
203,260 318
204,260 318
205,260 318
206,260 318
207,260 1196
208,260 296
209,260 1196
210,260 318
211,260 296
212,260 318
213,260 318
214,260 318
215,260 318
216,260 318
217,260 1196
218,260 318
219,260 318
220,260 1196
221,260 1196
222,260 318
223,260 1196
