,movie_candidates
0,"['110', '296', '318', '356', '2571']"
1,"['110', '356', '527', '2959']"
2,"['110', '260', '356', '527', '593']"
3,"['110', '260', '296', '527', '1196']"
4,"['110', '260', '296', '318', '593']"
5,"['110', '260', '356', '527', '593']"
6,"['110', '356', '2571']"
7,"['110', '296', '356', '1196', '2571']"
8,"['110', '260', '356', '593', '1196']"
9,"['110', '260', '296', '318', '1196']"
10,"['110', '296', '318', '356', '2571']"
11,"['110', '260', '296', '356', '527']"
12,"['110', '260', '318', '356', '527']"
13,"['110', '296', '318', '527', '2571']"
14,"['110', '260', '296', '318', '356']"
15,"['110', '296', '356', '593']"
16,"['110', '318', '356']"
17,"['110', '296', '318', '593', '2571']"
18,"['110', '527', '593', '1196', '2959']"
19,"['110', '296', '593', '2571']"
20,"['110', '260', '356', '527', '2959']"
21,"['110', '527', '1196', '2571']"
22,"['110', '296', '318', '356', '1196']"
23,"['110', '260', '296', '318', '356']"
24,"['110', '260', '296', '593', '1196']"
25,"['110', '296', '356', '2571']"
26,"['110', '260', '296', '593', '1196']"
27,"['110', '260', '593', '2571']"
28,"['110', '260', '318', '593', '2959']"
29,"['110', '260', '296', '318', '356']"
30,"['110', '260', '318', '527']"
31,"['110', '260', '593', '1196', '2959']"
32,"['110', '260', '296']"
33,"['110', '260', '356', '593', '1196']"
34,"['110', '318', '356', '527', '2571']"
35,"['110', '260', '318']"
36,"['110', '260', '296', '356', '593']"
37,"['110', '260', '296', '356', '2959']"
38,"['110', '260', '296', '356', '527']"
39,"['110', '260', '593', '2571', '2959']"
40,"['110', '356', '593', '1196', '2959']"
41,"['110', '296', '593', '2959']"
42,"['110', '296', '318', '2571', '2959']"
43,"['110', '260', '296', '318', '356']"
44,"['110', '260', '318', '356', '593']"
45,"['110', '318', '1196']"
46,"['110', '318', '356', '527', '1196']"
47,"['110', '260', '318', '527', '593']"
48,"['110', '296', '318', '356', '527']"
49,"['110', '318', '593', '1196']"
50,"['110', '296', '356', '527', '1196']"
51,"['110', '260', '318', '356', '527']"
52,"['110', '260', '296', '527', '593']"
53,"['110', '296', '527', '1196', '2571']"
54,"['110', '318', '356', '593', '1196']"
55,"['110', '356', '593', '1196', '2571']"
56,"['110', '296', '1196']"
57,"['110', '593']"
58,"['110', '296', '527', '2571']"
59,"['110', '318', '356', '527', '2959']"
60,"['110', '260', '296', '318', '356']"
61,"['110', '296', '593', '1196', '2571']"
62,"['110', '260', '296', '318', '593']"
63,"['110', '260', '593', '1196', '2571']"
64,"['110', '260', '527', '1196']"
65,"['110', '356', '1196', '2959']"
66,"['110', '260', '296', '318', '593']"
67,"['110', '296', '318', '593', '2571']"
68,"['110', '296', '356', '527', '2959']"
69,"['110', '260', '527', '593', '2571']"
70,"['110', '260', '318', '356', '527']"
71,"['110', '593', '1196', '2959']"
72,"['110', '260', '593', '1196', '2571']"
73,"['110', '318', '1196', '2571']"
74,"['110', '260', '296', '356', '593']"
75,"['110', '260', '356']"
76,"['110', '318', '527', '2571', '2959']"
77,"['110', '296', '318', '527', '593']"
78,"['110', '318', '356', '527', '593']"
79,"['110', '260', '318', '1196']"
80,"['110', '260', '356', '593']"
81,"['110', '260', '296', '1196', '2571']"
82,"['110', '296', '318', '2571', '2959']"
83,"['110', '260', '296', '318', '356']"
84,"['110', '260', '318', '356', '1196']"
85,"['110', '260', '356', '593', '1196']"
86,"['110', '296', '318', '356', '527']"
87,"['110', '527']"
88,"['110', '356', '1196', '2571', '2959']"
89,"['110', '260', '318', '356', '593']"
90,"['110', '527', '2959']"
91,"['110', '260', '318', '356', '593']"
