,support,itemsets
0,0.14673560052999401,"[110, 1196]"
1,0.1590761476708841,"[110, 2571]"
2,0.1476449040035333,"[110, 260]"
3,0.14437141149879193,"[110, 2959]"
4,0.1673118391312255,"[110, 296]"
5,0.1620378789846977,"[110, 318]"
6,0.15975163025122757,"[110, 356]"
7,0.1314593021745343,"[110, 527]"
8,0.15208750097425372,"[110, 593]"
9,0.18287391857836896,"[1196, 2571]"
10,0.186563092671014,"[260, 1196]"
11,0.16762360032215323,"[1196, 2959]"
12,0.18710867475513757,"[296, 1196]"
13,0.1771323166454496,"[318, 1196]"
14,0.17198825699514173,"[356, 1196]"
15,0.14101997869631863,"[527, 1196]"
16,0.1695461276662077,"[593, 1196]"
17,0.18152295341768204,"[260, 2571]"
18,0.18464056532695955,"[2571, 2959]"
19,0.20194331142344965,"[296, 2571]"
20,0.19116157023719832,"[318, 2571]"
21,0.19071990855005067,"[356, 2571]"
22,0.15356836663116052,"[527, 2571]"
23,0.1830817593723208,"[593, 2571]"
24,0.16377854563404431,"[260, 2959]"
25,0.18845963991582448,"[260, 296]"
26,0.17767789872957315,"[260, 318]"
27,0.17183237639967786,"[260, 356]"
28,0.1402925359174872,"[260, 527]"
29,0.17068925203294277,"[260, 593]"
30,0.1905640279545868,"[296, 2959]"
31,0.17980826686757945,"[318, 2959]"
32,0.17458626691953963,"[356, 2959]"
33,0.140552336909927,"[527, 2959]"
34,0.17183237639967786,"[593, 2959]"
35,0.2074510924631732,"[296, 318]"
36,0.19817619703307265,"[296, 356]"
37,0.1644540282143878,"[296, 527]"
38,0.19843599802551246,"[296, 593]"
39,0.19583798810111455,"[318, 356]"
40,0.16614273466524643,"[318, 527]"
41,0.1884336598165805,"[318, 593]"
42,0.1563482372502663,"[356, 527]"
43,0.18201657530331766,"[356, 593]"
44,0.1533605258372087,"[527, 593]"
